# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
2.260430e+03           2.226787e+02           3.85e-01               4.68e-01               2.63e-01               2.96e-01               1.82e-01               9.74e-02               1.29e-01               
1.554301e+03           1.280891e+03           3.25e-02               3.32e-02               6.70e-03               3.30e-03               1.06e-02               8.10e-03               3.90e-03               
1.381215e+03           2.287053e+02           2.86e-01               3.33e-01               1.26e-01               1.70e-01               1.54e-01               8.56e-02               1.01e-01               
1.795330e+03           5.192683e+02           4.02e-01               4.43e-01               2.63e-01               2.66e-01               1.80e-01               1.14e-01               1.36e-01               
9.275349e+02           7.628622e+02           1.21e-02               1.70e-02               1.60e-03               1.00e-03               2.90e-03               2.00e-03               1.30e-03               
1.399315e+03           9.328567e+01           2.72e-01               3.18e-01               1.32e-01               1.86e-01               1.45e-01               8.18e-02               1.04e-01               
1.197161e+03           9.016125e+02           3.36e-02               3.16e-02               5.40e-03               3.80e-03               1.33e-02               9.30e-03               5.30e-03               
1.666974e+03           1.376759e+03           3.44e-02               3.46e-02               6.50e-03               4.10e-03               1.36e-02               1.08e-02               5.60e-03               
1.796729e+03           1.110110e+03           2.93e-01               2.86e-01               7.69e-02               6.00e-02               1.33e-01               7.60e-02               5.75e-02               
1.870147e+03           7.955279e+02           4.01e-01               4.53e-01               2.31e-01               2.32e-01               1.96e-01               1.07e-01               1.23e-01               
2.184974e+03           8.306842e+01           3.72e-01               4.48e-01               2.53e-01               2.91e-01               1.69e-01               1.03e-01               1.40e-01               
1.786866e+03           7.005951e+02           3.78e-01               4.40e-01               2.35e-01               2.58e-01               1.88e-01               1.00e-01               1.42e-01               
2.244367e+03           8.122908e+02           4.44e-01               5.28e-01               3.19e-01               3.08e-01               1.75e-01               1.07e-01               1.37e-01               
1.689495e+03           1.655100e+02           3.31e-01               3.87e-01               1.96e-01               2.53e-01               1.61e-01               9.37e-02               1.25e-01               
1.410118e+03           9.086078e+02           1.59e-01               1.15e-01               3.37e-02               4.81e-03               8.17e-02               6.25e-02               2.88e-02               
8.139333e+02           4.767785e+01           9.48e-02               6.74e-02               6.20e-03               1.35e-02               4.24e-02               2.36e-02               1.26e-02               
8.943211e+02           1.160751e+02           1.37e-01               1.20e-01               1.98e-02               2.64e-02               7.60e-02               4.07e-02               2.64e-02               
1.852047e+03           9.309475e+02           3.78e-01               4.21e-01               1.86e-01               1.66e-01               1.86e-01               1.04e-01               1.06e-01               
2.040853e+03           5.014777e+02           4.06e-01               4.84e-01               2.71e-01               2.97e-01               1.90e-01               1.07e-01               1.36e-01               
1.067223e+03           3.913133e+02           1.85e-01               1.52e-01               1.98e-02               2.87e-02               7.66e-02               4.54e-02               2.72e-02               
9.697764e+02           2.556854e+02           1.59e-01               1.30e-01               1.66e-02               2.81e-02               7.29e-02               4.18e-02               2.80e-02               
7.816474e+02           2.020771e+01           8.10e-02               5.06e-02               4.70e-03               9.40e-03               3.46e-02               1.99e-02               1.02e-02               
2.129656e+03           2.622310e+02           3.85e-01               4.63e-01               2.56e-01               2.99e-01               1.81e-01               1.04e-01               1.40e-01               
2.263486e+03           9.039674e+02           4.46e-01               5.21e-01               3.12e-01               3.15e-01               2.15e-01               1.23e-01               1.46e-01               
1.680999e+03           3.329540e+02           3.53e-01               4.12e-01               2.02e-01               2.55e-01               1.77e-01               1.02e-01               1.27e-01               
1.243822e+03           1.075065e+03           1.58e-02               2.51e-02               3.00e-03               9.00e-04               3.80e-03               2.60e-03               1.10e-03               
1.085575e+03           8.718863e+02           1.66e-02               2.36e-02               3.10e-03               1.90e-03               6.00e-03               4.00e-03               2.20e-03               
1.797748e+03           1.337206e+03           1.53e-01               8.56e-02               1.70e-02               1.35e-02               5.14e-02               3.49e-02               1.65e-02               
8.188160e+02           4.010015e+02           3.97e-02               2.40e-02               2.70e-03               5.30e-03               1.53e-02               1.12e-02               4.20e-03               
2.243643e+03           3.378652e+02           4.12e-01               4.93e-01               2.88e-01               3.03e-01               1.81e-01               1.03e-01               1.39e-01               
2.188031e+03           7.643571e+02           4.38e-01               5.11e-01               2.95e-01               3.17e-01               2.02e-01               1.15e-01               1.43e-01               
2.057257e+03           8.039094e+02           4.11e-01               4.91e-01               2.52e-01               2.75e-01               1.74e-01               8.41e-02               1.15e-01               
1.251461e+03           4.953537e+02           2.48e-01               2.45e-01               4.95e-02               5.87e-02               1.18e-01               6.75e-02               5.53e-02               
1.789751e+03           7.086975e+02           3.89e-01               4.34e-01               2.14e-01               2.38e-01               1.98e-01               1.11e-01               1.24e-01               
8.566866e+02           2.163780e+02           1.11e-01               7.03e-02               7.70e-03               1.16e-02               4.77e-02               2.68e-02               1.38e-02               
2.019020e+03           6.205561e+02           4.15e-01               4.86e-01               2.81e-01               2.97e-01               2.01e-01               1.11e-01               1.36e-01               
1.216280e+03           9.932892e+02           2.18e-02               2.79e-02               4.90e-03               1.30e-03               6.20e-03               4.30e-03               1.90e-03               
1.327935e+03           8.620603e+02           1.30e-01               6.94e-02               1.38e-02               1.39e-02               4.24e-02               2.81e-02               1.47e-02               
1.441627e+03           1.185024e+03           2.82e-02               3.01e-02               5.00e-03               2.60e-03               9.70e-03               7.20e-03               2.90e-03               
1.829872e+03           1.579822e+02           3.42e-01               4.09e-01               2.16e-01               2.68e-01               1.68e-01               9.97e-02               1.34e-01               
1.766287e+03           4.610077e+02           3.69e-01               4.29e-01               2.22e-01               2.60e-01               1.80e-01               1.02e-01               1.27e-01               
2.153423e+03           1.319695e+03           3.79e-01               4.11e-01               1.80e-01               1.28e-01               1.77e-01               9.90e-02               8.99e-02               
1.419452e+03           4.120585e+02           3.04e-01               3.46e-01               1.36e-01               1.50e-01               1.56e-01               8.84e-02               9.63e-02               
6.337930e+02           4.222758e+02           7.90e-03               8.60e-03               1.30e-03               1.00e-03               2.30e-03               2.00e-03               1.00e-03               
8.654418e+02           3.456965e+02           8.50e-02               4.61e-02               4.90e-03               9.40e-03               2.97e-02               1.89e-02               1.03e-02               
1.504704e+03           6.931100e+02           3.06e-01               3.23e-01               1.04e-01               8.94e-02               1.51e-01               8.39e-02               7.43e-02               
1.888247e+03           6.601083e+02           3.99e-01               4.65e-01               2.51e-01               2.67e-01               1.99e-01               1.10e-01               1.32e-01               
9.529252e+02           2.188818e+02           1.55e-01               1.28e-01               1.63e-02               2.50e-02               7.45e-02               4.13e-02               2.63e-02               
1.760052e+03           4.013488e+02           3.68e-01               4.31e-01               2.24e-01               2.64e-01               1.82e-01               1.01e-01               1.28e-01               
1.199873e+03           1.044318e+03           1.26e-02               2.05e-02               2.20e-03               6.00e-04               3.10e-03               2.00e-03               6.00e-04               
2.078413e+03           1.349778e+03           3.39e-01               3.45e-01               1.12e-01               7.46e-02               1.50e-01               8.30e-02               6.28e-02               
1.428469e+03           1.389181e+03           1.55e-02               1.68e-02               3.30e-03               3.00e-04               5.00e-04               4.00e-04               3.00e-04               
1.269005e+03           4.369300e+02           2.61e-01               2.68e-01               7.26e-02               7.11e-02               1.35e-01               7.59e-02               6.22e-02               
5.324351e+02           4.903019e+02           4.50e-03               5.50e-03               7.00e-04               0.00e+00               3.00e-04               0.00e+00               0.00e+00               
1.459727e+03           1.049604e+03           9.41e-02               5.74e-02               9.50e-03               8.20e-03               3.01e-02               2.14e-02               9.80e-03               
2.088115e+03           1.396452e+03           3.30e-01               3.18e-01               8.93e-02               6.52e-02               1.43e-01               7.60e-02               5.52e-02               
1.917102e+03           7.216510e+02           3.99e-01               4.66e-01               2.46e-01               2.69e-01               2.01e-01               1.10e-01               1.34e-01               
1.347053e+03           9.537369e+02           7.33e-02               4.58e-02               9.40e-03               6.70e-03               2.53e-02               1.74e-02               8.00e-03               
1.847535e+03           2.745341e+02           3.69e-01               4.34e-01               2.32e-01               2.85e-01               1.79e-01               9.95e-02               1.35e-01               
2.111556e+03           3.976506e+02           4.01e-01               4.72e-01               2.72e-01               3.07e-01               1.87e-01               1.08e-01               1.42e-01               
1.535182e+03           1.189215e+03           5.21e-02               3.64e-02               8.60e-03               5.30e-03               1.86e-02               1.29e-02               5.80e-03               
8.973773e+02           7.973638e+02           9.80e-03               1.54e-02               2.50e-03               1.00e-04               7.00e-04               5.00e-04               2.00e-04               
1.530088e+03           5.373342e+01           2.75e-01               3.23e-01               1.47e-01               2.15e-01               1.45e-01               8.43e-02               1.14e-01               
9.506579e+02           1.640087e+02           1.61e-01               1.39e-01               1.79e-02               3.10e-02               7.56e-02               4.24e-02               3.12e-02               
2.227286e+03           1.174807e+03           4.22e-01               4.84e-01               2.61e-01               2.42e-01               2.06e-01               1.09e-01               1.25e-01               
1.250442e+03           2.682575e+02           2.60e-01               2.84e-01               9.03e-02               1.07e-01               1.33e-01               7.33e-02               7.50e-02               
9.537141e+02           8.452974e+02           1.10e-02               1.62e-02               1.90e-03               9.00e-04               1.50e-03               9.00e-04               7.00e-04               
8.739052e+02           1.643697e+02           1.22e-01               8.76e-02               6.87e-03               1.62e-02               5.17e-02               2.85e-02               1.67e-02               
1.119668e+03           3.078098e+02           2.23e-01               2.20e-01               4.28e-02               5.34e-02               1.12e-01               6.48e-02               5.01e-02               
7.035155e+02           6.153497e+02           7.50e-03               1.05e-02               1.70e-03               5.00e-04               1.10e-03               9.00e-04               3.00e-04               
1.547808e+03           9.367365e+02           2.34e-01               1.88e-01               3.18e-02               2.91e-02               9.63e-02               5.92e-02               3.29e-02               
8.953398e+02           3.431713e+02           1.04e-01               5.91e-02               6.90e-03               1.07e-02               3.71e-02               2.37e-02               1.29e-02               
1.027700e+03           8.911788e+02           1.09e-02               1.78e-02               3.00e-03               3.00e-04               1.50e-03               1.20e-03               3.00e-04               
2.282604e+03           9.956441e+02           4.55e-01               5.27e-01               3.09e-01               3.04e-01               2.14e-01               1.16e-01               1.40e-01               
1.288679e+03           4.516108e+02           2.61e-01               2.69e-01               7.24e-02               7.69e-02               1.31e-01               7.22e-02               6.66e-02               
1.983839e+03           1.118492e+03           3.78e-01               4.16e-01               1.77e-01               1.43e-01               1.85e-01               1.02e-01               9.42e-02               
1.290716e+03           9.058033e+02           6.89e-02               4.52e-02               9.20e-03               6.60e-03               2.40e-02               1.83e-02               9.10e-03               
9.154771e+02           6.619442e+02           1.71e-02               1.66e-02               2.80e-03               1.90e-03               7.20e-03               5.70e-03               2.40e-03               
1.559694e+03           1.198959e+03           6.37e-02               4.63e-02               8.70e-03               5.60e-03               2.38e-02               1.69e-02               7.60e-03               
2.278529e+03           8.725914e+01           3.79e-01               4.60e-01               2.59e-01               2.81e-01               1.63e-01               9.68e-02               1.31e-01               
1.028151e+03           7.578115e+02           2.39e-02               2.50e-02               5.10e-03               3.20e-03               8.90e-03               6.70e-03               3.60e-03               
1.568158e+03           1.017632e+03           2.08e-01               1.46e-01               2.24e-02               2.24e-02               8.21e-02               4.98e-02               2.67e-02               
2.149793e+03           5.810039e+02           4.28e-01               5.00e-01               2.97e-01               3.12e-01               1.94e-01               1.10e-01               1.42e-01               
2.243349e+03           5.851946e+02           4.34e-01               5.11e-01               3.07e-01               3.21e-01               2.03e-01               1.13e-01               1.41e-01               
2.130675e+03           4.893272e+02           4.16e-01               4.91e-01               2.89e-01               3.05e-01               1.93e-01               1.12e-01               1.41e-01               
9.164958e+02           8.890404e+02           1.36e-02               1.46e-02               3.40e-03               3.00e-04               7.00e-04               4.00e-04               4.00e-04               
1.942546e+03           2.538496e+02           3.64e-01               4.39e-01               2.35e-01               2.81e-01               1.73e-01               9.87e-02               1.33e-01               
1.814829e+03           9.746905e+02           3.62e-01               3.91e-01               1.56e-01               1.22e-01               1.77e-01               9.78e-02               8.93e-02               
1.605544e+03           1.933437e+02           3.08e-01               3.74e-01               1.67e-01               2.29e-01               1.53e-01               9.58e-02               1.31e-01               
2.284039e+03           1.166180e+03           4.42e-01               5.09e-01               2.87e-01               2.75e-01               2.11e-01               1.12e-01               1.32e-01               
1.493889e+03           3.245726e+02           3.18e-01               3.70e-01               1.58e-01               2.03e-01               1.63e-01               9.24e-02               1.15e-01               
2.091419e+03           7.887771e+01           3.62e-01               4.38e-01               2.42e-01               2.75e-01               1.65e-01               9.99e-02               1.36e-01               
8.390030e+02           2.952376e+02           8.23e-02               4.77e-02               5.28e-03               8.02e-03               3.05e-02               1.92e-02               9.60e-03               
1.081431e+03           1.244565e+02           2.00e-01               2.08e-01               4.70e-02               6.69e-02               1.04e-01               5.59e-02               5.39e-02               
1.242190e+03           1.376838e+02           2.40e-01               2.74e-01               8.65e-02               1.26e-01               1.28e-01               7.28e-02               8.23e-02               
1.156131e+03           1.107725e+03           1.55e-02               1.81e-02               4.00e-03               6.00e-04               8.00e-04               5.00e-04               4.00e-04               
1.567307e+03           9.990463e+00           2.95e-01               3.47e-01               1.61e-01               2.32e-01               1.59e-01               9.26e-02               1.18e-01               
1.889265e+03           8.872046e+02           3.85e-01               4.33e-01               2.15e-01               1.99e-01               1.95e-01               1.06e-01               1.18e-01               
1.663918e+03           6.954699e+02           3.45e-01               3.87e-01               1.67e-01               1.61e-01               1.72e-01               9.43e-02               1.01e-01               
5.931037e+02           6.424088e+01           2.03e-02               1.18e-02               3.00e-04               1.60e-03               7.50e-03               4.50e-03               2.40e-03               
1.435508e+03           3.646274e+02           3.12e-01               3.53e-01               1.50e-01               1.74e-01               1.59e-01               8.71e-02               1.00e-01               
1.941527e+03           2.675332e+01           3.29e-01               3.95e-01               2.07e-01               2.59e-01               1.54e-01               9.04e-02               1.23e-01               
1.959855e+03           8.903512e+02           4.07e-01               4.65e-01               2.38e-01               2.42e-01               2.05e-01               1.16e-01               1.29e-01               
2.115631e+03           1.306036e+03           3.76e-01               4.00e-01               1.67e-01               1.18e-01               1.78e-01               9.54e-02               8.67e-02               
1.536201e+03           1.416311e+03           1.43e-02               2.25e-02               4.50e-03               7.00e-04               1.70e-03               1.00e-03               5.00e-04               
5.337692e+02           3.854140e+02           3.80e-03               4.70e-03               5.00e-04               3.00e-04               1.00e-03               6.00e-04               5.00e-04               
2.133225e+03           9.055371e+02           4.33e-01               4.96e-01               2.87e-01               2.85e-01               2.13e-01               1.16e-01               1.39e-01               
2.205112e+03           4.018413e+02           4.05e-01               4.82e-01               2.82e-01               3.18e-01               1.95e-01               1.10e-01               1.47e-01               
1.417192e+03           1.090251e+03           4.55e-02               3.96e-02               7.40e-03               5.00e-03               1.82e-02               1.35e-02               6.60e-03               
1.442103e+03           1.851786e+02           2.88e-01               3.31e-01               1.45e-01               1.92e-01               1.47e-01               8.20e-02               1.07e-01               
1.438571e+03           5.037352e+02           3.12e-01               3.43e-01               1.29e-01               1.24e-01               1.52e-01               8.59e-02               8.59e-02               
1.324878e+03           1.807716e+02           2.65e-01               3.06e-01               1.19e-01               1.56e-01               1.42e-01               7.69e-02               9.22e-02               
1.716310e+03           4.647562e+02           3.64e-01               4.25e-01               2.12e-01               2.46e-01               1.84e-01               1.03e-01               1.23e-01               
1.643781e+03           3.766970e+02           3.46e-01               4.01e-01               1.96e-01               2.36e-01               1.75e-01               1.02e-01               1.24e-01               
2.248187e+02           9.092678e+01           1.00e-04               2.00e-04               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
1.873203e+03           1.476817e+03           9.74e-02               5.98e-02               1.41e-02               9.60e-03               3.45e-02               2.32e-02               1.15e-02               
1.869128e+03           5.684317e+02           3.94e-01               4.63e-01               2.45e-01               2.69e-01               1.90e-01               1.03e-01               1.25e-01               
1.867091e+03           1.142392e+02           3.43e-01               4.11e-01               2.18e-01               2.72e-01               1.67e-01               9.58e-02               1.32e-01               
1.046251e+03           6.223919e+02           6.92e-02               4.26e-02               5.95e-03               6.25e-03               2.46e-02               1.69e-02               8.57e-03               
1.943565e+03           4.809458e+02           4.32e-01               4.84e-01               2.89e-01               3.04e-01               1.94e-01               1.10e-01               1.43e-01               
1.198449e+03           2.010912e+02           2.41e-01               2.64e-01               7.84e-02               1.00e-01               1.25e-01               6.97e-02               6.96e-02               
2.096513e+03           1.214359e+03           3.92e-01               4.33e-01               1.94e-01               1.53e-01               1.84e-01               1.01e-01               9.79e-02               
1.591519e+03           1.237148e+03           6.31e-02               4.56e-02               9.50e-03               7.20e-03               2.34e-02               1.56e-02               7.40e-03               
8.379843e+02           6.814139e+01           1.00e-01               7.68e-02               7.70e-03               1.43e-02               4.60e-02               2.70e-02               1.72e-02               
9.335769e+02           5.265246e+02           5.46e-02               3.17e-02               4.80e-03               6.10e-03               2.04e-02               1.36e-02               7.30e-03               
5.140837e+02           9.728808e+00           8.24e-03               4.45e-03               1.08e-04               9.76e-04               4.12e-03               2.28e-03               9.76e-04               
6.880923e+02           1.601700e+01           4.79e-02               2.69e-02               1.30e-03               6.00e-03               1.91e-02               1.05e-02               5.00e-03               
8.386270e+02           4.645027e+01           1.11e-01               8.18e-02               1.05e-02               1.62e-02               5.12e-02               3.16e-02               1.74e-02               
1.066388e+03           9.411648e+02           1.18e-02               1.91e-02               2.50e-03               1.00e-03               2.30e-03               1.80e-03               8.00e-04               
1.756454e+03           4.725644e+02           3.69e-01               4.30e-01               2.25e-01               2.50e-01               1.79e-01               1.02e-01               1.22e-01               
1.700979e+03           5.377649e+02           3.61e-01               4.20e-01               2.07e-01               2.31e-01               1.81e-01               9.94e-02               1.15e-01               
1.963702e+03           7.997187e+02           4.12e-01               4.73e-01               2.57e-01               2.58e-01               2.03e-01               1.13e-01               1.31e-01               
9.196382e+02           7.992358e+02           9.90e-03               1.42e-02               2.00e-03               5.00e-04               2.50e-03               1.80e-03               7.00e-04               
1.611656e+03           1.555921e+03           1.44e-02               1.93e-02               3.60e-03               3.00e-04               1.20e-03               8.00e-04               5.00e-04               
1.980783e+03           4.372028e+02           4.01e-01               4.77e-01               2.68e-01               3.00e-01               1.93e-01               1.08e-01               1.39e-01               
1.647178e+03           1.072144e+03           2.28e-01               1.78e-01               3.21e-02               2.70e-02               9.40e-02               5.66e-02               3.08e-02               
1.924446e+03           3.892692e+02           3.87e-01               4.56e-01               2.50e-01               2.92e-01               1.89e-01               1.10e-01               1.41e-01               
1.572719e+03           3.166430e+01           2.89e-01               3.39e-01               1.58e-01               2.26e-01               1.50e-01               8.60e-02               1.17e-01               
1.587444e+03           3.287633e+02           3.35e-01               3.90e-01               1.80e-01               2.24e-01               1.71e-01               9.63e-02               1.20e-01               
6.518928e+02           2.868562e+02           1.78e-02               1.17e-02               1.60e-03               2.50e-03               7.50e-03               5.30e-03               3.30e-03               
1.592918e+03           4.458218e+02           3.53e-01               4.03e-01               1.92e-01               2.15e-01               1.71e-01               9.18e-02               1.10e-01               
1.672568e+03           5.281636e+02           3.65e-01               4.20e-01               2.06e-01               2.27e-01               1.77e-01               9.74e-02               1.20e-01               
1.946621e+03           1.162234e+03           3.55e-01               3.70e-01               1.36e-01               9.84e-02               1.63e-01               9.15e-02               7.80e-02               
2.226268e+03           9.477104e+02           4.41e-01               5.14e-01               2.98e-01               3.01e-01               2.10e-01               1.18e-01               1.42e-01               
5.056203e+02           1.910556e+02           4.52e-03               4.31e-03               3.15e-04               4.21e-04               2.00e-03               1.05e-03               8.41e-04               
1.901165e+03           8.730266e+02           3.92e-01               4.40e-01               2.21e-01               2.19e-01               1.98e-01               1.09e-01               1.20e-01               
1.155868e+03           3.697057e+01           2.01e-01               2.30e-01               6.57e-02               9.29e-02               1.08e-01               6.11e-02               6.83e-02               
1.439590e+03           7.308314e+02           2.64e-01               2.55e-01               5.85e-02               5.21e-02               1.23e-01               7.07e-02               5.09e-02               
1.436933e+03           1.207854e+03           2.33e-02               3.12e-02               4.90e-03               2.10e-03               7.40e-03               5.60e-03               2.10e-03               
1.960646e+03           1.184300e+02           3.56e-01               4.20e-01               2.37e-01               2.75e-01               1.62e-01               9.43e-02               1.32e-01               
9.091835e+02           2.822891e+02           1.23e-01               8.43e-02               8.50e-03               1.70e-02               5.03e-02               2.92e-02               1.70e-02               
2.204093e+03           1.747451e+02           3.87e-01               4.66e-01               2.65e-01               2.97e-01               1.81e-01               1.10e-01               1.45e-01               
1.979764e+03           2.101066e+02           3.65e-01               4.34e-01               2.40e-01               2.83e-01               1.74e-01               1.01e-01               1.40e-01               
1.164595e+03           9.263984e+02           2.29e-02               2.56e-02               4.70e-03               2.60e-03               9.30e-03               6.50e-03               2.80e-03               
3.038387e+02           1.454389e+02           3.00e-04               4.00e-04               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
6.891111e+02           2.431132e+02           3.27e-02               1.84e-02               1.40e-03               3.40e-03               1.22e-02               8.70e-03               3.70e-03               
1.944906e+03           8.096192e+02           4.04e-01               4.63e-01               2.44e-01               2.55e-01               2.01e-01               1.08e-01               1.28e-01               
3.333487e+02           2.471535e+02           1.30e-03               1.30e-03               3.00e-04               2.00e-04               3.00e-04               2.00e-04               1.00e-04               
1.007501e+03           4.770213e+02           1.18e-01               6.90e-02               9.50e-03               1.15e-02               4.27e-02               2.65e-02               1.32e-02               
1.436533e+03           4.954271e+01           2.63e-01               3.08e-01               1.25e-01               1.89e-01               1.35e-01               7.67e-02               1.03e-01               
1.457689e+03           5.954118e+02           3.07e-01               3.27e-01               1.13e-01               1.03e-01               1.52e-01               8.19e-02               7.76e-02               
1.009032e+03           6.661349e+02           3.58e-02               2.70e-02               4.20e-03               5.20e-03               1.37e-02               9.90e-03               5.60e-03               
1.567040e+03           1.460323e+03           1.49e-02               2.41e-02               3.70e-03               8.00e-04               1.80e-03               1.10e-03               8.00e-04               
1.760529e+03           1.380949e+03           8.10e-02               5.60e-02               1.21e-02               7.00e-03               2.62e-02               1.84e-02               8.80e-03               
1.935018e+03           1.477194e+02           3.54e-01               4.27e-01               2.30e-01               2.75e-01               1.65e-01               9.18e-02               1.26e-01               
1.119429e+03           1.465791e+02           2.16e-01               2.27e-01               5.55e-02               7.29e-02               1.09e-01               5.93e-02               5.71e-02               
1.058760e+03           5.726401e+02           1.05e-01               5.93e-02               8.00e-03               8.30e-03               3.75e-02               2.41e-02               1.00e-02               
1.684055e+03           1.014243e+03           2.85e-01               2.65e-01               5.99e-02               5.04e-02               1.29e-01               7.26e-02               4.81e-02               
2.224230e+03           4.935179e+02           4.33e-01               5.12e-01               2.99e-01               3.18e-01               2.02e-01               1.19e-01               1.51e-01               
9.219947e+02           1.396209e+02           1.38e-01               1.17e-01               1.55e-02               2.46e-02               6.42e-02               3.50e-02               2.30e-02               
6.833171e+02           2.011921e+02           3.62e-02               1.86e-02               1.80e-03               3.80e-03               1.30e-02               8.90e-03               4.70e-03               
1.883255e+03           1.859517e+03           1.52e-02               1.86e-02               3.50e-03               4.00e-04               1.20e-03               8.00e-04               3.00e-04               
1.308816e+03           7.703837e+02           1.70e-01               1.11e-01               1.95e-02               1.89e-02               6.52e-02               4.14e-02               2.15e-02               
8.581215e+02           3.869143e+02           6.85e-02               3.84e-02               4.20e-03               6.70e-03               2.76e-02               1.73e-02               8.70e-03               
2.132712e+03           9.435197e+02           4.35e-01               5.02e-01               2.81e-01               2.85e-01               2.10e-01               1.14e-01               1.37e-01               
1.905545e+03           9.696310e+02           3.76e-01               4.25e-01               1.95e-01               1.80e-01               1.87e-01               1.01e-01               1.08e-01               
1.384271e+03           9.099940e+02           1.41e-01               8.31e-02               1.56e-02               1.46e-02               5.10e-02               3.50e-02               1.91e-02               
6.180090e+02           2.779493e+02           1.09e-02               7.50e-03               8.00e-04               1.10e-03               3.70e-03               2.60e-03               1.10e-03               
1.882813e+03           3.924535e+02           3.89e-01               4.53e-01               2.49e-01               2.90e-01               1.89e-01               1.08e-01               1.37e-01               
7.342167e+02           5.359186e+02           1.03e-02               1.18e-02               1.50e-03               1.70e-03               3.00e-03               2.00e-03               1.20e-03               
1.030056e+03           2.315639e+02           2.03e-01               1.75e-01               3.38e-02               3.94e-02               9.01e-02               5.92e-02               4.23e-02               
1.633315e+03           1.274137e+03           6.31e-02               4.39e-02               1.10e-02               6.70e-03               2.38e-02               1.65e-02               7.70e-03               
1.699383e+03           8.274098e+02           3.48e-01               3.81e-01               1.53e-01               1.33e-01               1.74e-01               9.62e-02               9.39e-02               
1.401655e+03           1.089935e+03           3.89e-02               3.29e-02               7.40e-03               4.80e-03               1.51e-02               1.04e-02               4.60e-03               
2.070273e+03           3.226793e+02           3.93e-01               4.62e-01               2.67e-01               2.97e-01               1.81e-01               1.03e-01               1.40e-01               
4.534152e+02           4.357898e+02           3.90e-03               5.40e-03               7.00e-04               1.00e-04               3.00e-04               1.00e-04               1.00e-04               
1.638714e+03           1.253471e+03           8.55e-02               5.47e-02               1.24e-02               8.10e-03               2.83e-02               1.99e-02               1.03e-02               
1.277468e+03           2.556032e+02           2.59e-01               2.92e-01               9.57e-02               1.26e-01               1.35e-01               6.89e-02               7.90e-02               
1.704193e+03           1.333016e+03           6.92e-02               4.74e-02               1.02e-02               7.60e-03               2.76e-02               1.85e-02               9.00e-03               
1.138787e+03           3.994864e+02           2.21e-01               2.01e-01               3.38e-02               4.08e-02               1.01e-01               5.76e-02               4.19e-02               
1.374840e+03           7.906884e+02           2.06e-01               1.55e-01               2.69e-02               2.43e-02               8.53e-02               5.22e-02               2.94e-02               
1.139806e+03           6.265826e+02           1.31e-01               7.77e-02               1.23e-02               1.26e-02               4.69e-02               2.92e-02               1.50e-02               
9.613886e+02           3.755497e+01           1.53e-01               1.50e-01               2.40e-02               3.47e-02               7.75e-02               4.30e-02               3.19e-02               
8.007660e+02           1.118843e+02           9.38e-02               6.27e-02               5.80e-03               1.11e-02               3.95e-02               2.27e-02               1.15e-02               
1.833947e+03           1.066367e+03           3.36e-01               3.48e-01               1.18e-01               8.68e-02               1.53e-01               8.40e-02               7.04e-02               
2.021339e+03           1.230564e+03           3.61e-01               3.83e-01               1.47e-01               1.06e-01               1.66e-01               9.24e-02               7.93e-02               
2.058276e+03           1.031006e+03           4.13e-01               4.66e-01               2.38e-01               2.27e-01               1.99e-01               1.10e-01               1.22e-01               
1.459945e+03           1.258951e+03           1.98e-02               2.98e-02               4.40e-03               1.70e-03               5.40e-03               3.50e-03               1.60e-03               
1.497964e+03           1.232958e+03           3.02e-02               3.34e-02               5.70e-03               3.60e-03               9.70e-03               7.10e-03               3.80e-03               
7.082296e+02           3.347899e+02           2.24e-02               1.11e-02               7.00e-04               2.10e-03               9.50e-03               7.00e-03               3.00e-03               
9.346103e+02           6.619350e+02           2.14e-02               1.94e-02               2.80e-03               3.40e-03               9.90e-03               6.20e-03               3.40e-03               
1.137768e+03           1.723902e+02           2.34e-01               2.46e-01               6.60e-02               8.63e-02               1.19e-01               5.79e-02               6.09e-02               
1.487713e+03           1.198932e+02           2.94e-01               3.44e-01               1.52e-01               2.17e-01               1.52e-01               8.66e-02               1.15e-01               
9.315394e+02           7.233210e+01           1.41e-01               1.28e-01               1.32e-02               2.54e-02               6.80e-02               3.35e-02               2.33e-02               
1.531455e+03           5.648583e+01           2.80e-01               3.32e-01               1.52e-01               2.09e-01               1.45e-01               7.96e-02               1.07e-01               
1.812257e+03           1.566147e+02           3.41e-01               4.04e-01               2.12e-01               2.66e-01               1.72e-01               1.01e-01               1.33e-01               
1.120853e+03           9.898058e+02           1.29e-02               1.99e-02               2.90e-03               9.00e-04               2.40e-03               1.90e-03               7.00e-04               
1.910421e+03           1.433074e+03           1.68e-01               9.79e-02               2.10e-02               1.65e-02               5.24e-02               3.44e-02               1.73e-02               
9.007201e+02           4.636160e+02           5.99e-02               3.28e-02               3.93e-03               6.11e-03               2.07e-02               1.40e-02               7.45e-03               
1.305760e+03           8.909496e+01           2.51e-01               2.88e-01               1.07e-01               1.56e-01               1.36e-01               7.49e-02               9.30e-02               
1.516064e+03           1.097538e+03           9.99e-02               5.89e-02               1.07e-02               8.80e-03               3.31e-02               2.09e-02               9.70e-03               
