# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
1.738355e+03           6.079840e+02           3.73e-01               4.34e-01               2.10e-01               2.35e-01               1.92e-01               1.06e-01               1.24e-01               
7.864219e+02           2.911844e+02           6.07e-02               3.23e-02               2.70e-03               6.10e-03               2.07e-02               1.33e-02               6.70e-03               
1.620363e+03           7.728978e+02           3.26e-01               3.55e-01               1.26e-01               1.18e-01               1.63e-01               8.85e-02               8.37e-02               
1.063332e+03           2.598761e+02           2.00e-01               1.92e-01               3.49e-02               4.62e-02               1.01e-01               5.64e-02               4.48e-02               
7.464666e+02           5.181431e+02           1.12e-02               1.17e-02               1.30e-03               1.20e-03               3.40e-03               1.80e-03               1.10e-03               
1.847972e+03           2.256261e+01           3.30e-01               3.92e-01               2.08e-01               2.57e-01               1.63e-01               9.61e-02               1.28e-01               
1.757473e+03           6.996606e+02           3.78e-01               4.29e-01               2.05e-01               2.11e-01               1.87e-01               1.04e-01               1.19e-01               
1.810770e+02           1.543342e+02           0.00e+00               1.00e-04               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
1.514528e+03           4.191394e+02           3.30e-01               3.80e-01               1.68e-01               1.84e-01               1.63e-01               9.04e-02               1.06e-01               
1.776592e+03           7.913372e+02           3.81e-01               3.81e-01               1.90e-01               9.52e-02               9.52e-02               4.76e-02               9.52e-02               
2.190068e+03           1.218550e+03           4.06e-01               4.56e-01               2.35e-01               1.97e-01               1.94e-01               1.03e-01               1.09e-01               
2.097532e+03           1.441455e+03           3.06e-01               2.79e-01               7.13e-02               5.17e-02               1.28e-01               7.03e-02               4.77e-02               
1.527610e+03           5.225790e+02           3.30e-01               3.76e-01               1.56e-01               1.66e-01               1.69e-01               9.17e-02               9.96e-02               
2.035082e+03           3.094403e+01           3.47e-01               4.16e-01               2.29e-01               2.71e-01               1.60e-01               9.59e-02               1.32e-01               
1.775573e+03           5.642410e+02           3.79e-01               4.40e-01               2.25e-01               2.48e-01               1.85e-01               1.02e-01               1.23e-01               
2.076376e+03           8.955860e+02           4.21e-01               4.86e-01               2.70e-01               2.68e-01               2.02e-01               1.13e-01               1.31e-01               
7.030216e+02           1.400680e+02           5.01e-02               2.44e-02               2.30e-03               4.80e-03               1.71e-02               1.26e-02               6.50e-03               
1.773536e+03           1.100485e+02           3.24e-01               3.89e-01               1.96e-01               2.51e-01               1.55e-01               9.35e-02               1.26e-01               
1.857423e+03           9.364340e+02           3.76e-01               4.17e-01               1.93e-01               1.67e-01               1.85e-01               1.03e-01               1.07e-01               
2.092828e+03           7.722200e+01           3.60e-01               4.30e-01               2.43e-01               2.70e-01               1.62e-01               9.70e-02               1.30e-01               
1.720255e+03           7.434036e+02           3.62e-01               4.10e-01               1.85e-01               1.86e-01               1.84e-01               9.87e-02               1.11e-01               
2.112575e+03           6.247468e+02           4.16e-01               4.87e-01               2.82e-01               3.06e-01               1.99e-01               1.11e-01               1.41e-01               
6.901298e+02           4.702095e+02           9.60e-03               9.20e-03               1.70e-03               7.00e-04               3.40e-03               2.50e-03               1.20e-03               
1.936713e+03           1.353237e+03           2.60e-01               2.03e-01               4.15e-02               3.04e-02               9.62e-02               5.64e-02               3.17e-02               
